TU FFR Code,Field Name,Displacement,Length,Type
AT11,Portfolio Sale Indicator Code,26,1,A/N
AT11,Portfolio Sale Name,27,30,A/N
AT11,Original Creditor Name,57,30,A/N
AT11,Original Chargeoff Amount,87,9,A/N
BR01,Segment Type,1,4,A/N
BR01,Segment Length,5,3,N
BR01,Business Update Date Core,8,8,A/N
BR01,Business Identifier,16,16,A/N
BR01,Business Name Core,32,35,A/N
BR01,Address Number Core,67,10,A/N
BR01,Predirectional Core,77,2,A
BR01,Street Name Core,79,28,A/N
BR01,Postdirectional Core,107,2,A
BR01,Street Type Code Core,109,4,A
BR01,Unit Type Core,113,4,A
BR01,Unit Number Core,117,10,A/N
BR01,City Name Core,127,28,A
BR01,State Code Core,155,2,A
BR01,ZIP Code Core,157,5,A/N
BR01,ZIP ExtensionCode,162,4,A/N
BR01,Executive ID,166,16,A/N
BR01,Data Source ID,182,2,A/N
BR01,Top Firm Indicator Premium,184,1,A/N
BR01,Home BasedIndicator Premium,185,1,A/N
BR01,Corporate Entity Type Premium,186,1,A/N
BR01,Location Status Premium,187,1,A/N
BR01,Ownership Type Premium,188,1,A/N
BR01,Year Company Established Premium,189,4,A/N
BR01,Match Type,193,2,A/N
BR01,Confidence Score Core,195,3,A/N
BR01,Primary SIC Premium,198,8,A/N
BR01,Secondary SIC Premium,206,8,A/N
BR01,Third SIC Premium,214,8,A/N
BR01,Fourth SIC Premium,222,8,A/N
BR01,Fifth SIC Premium,230,8,A/N
BR01,Sixth SIC Premium,238,8,A/N
BR01,Seventh SIC Premium,246,8,A/N
BR01,Total Sales Revenue Premium,254,12,N
BR01,Sales by Location Premium,266,12,N
BR01,Total Number of Employees Premium,278,12,N
BR01,Number of Employees by Location Premium,290,12,N
BR01,Primary NAICS Premium,302,6,A/N
BR01,Secondary NAICS Premium,308,6,A/N
BR01,Third NAICS Premium,314,6,A/N
BR01,Sole Proprietorship Indicator Premium,320,1,A/N
BR01,Revenue Growth Premium,321,8,A/N
BR01,Closed Date Premium,329,10,A/N
CA01,Segment Type,1,4,A/N
CA01,Segment Length,5,3,N
CA01,Summary Type,8,1,A
CA01,Available Credit Amount,9,9,A/N
CC11,Segment Type,1,4,A/N
CC11,Segment Length,5,3,N
CC11,Credit Card Type,8,2,A/N
CC11,Credit Card Number,10,30,A/N
CC11,Expiration Date,40,8,A/N
CD01,Segment Type,1,4,A/N
CD01,Segment Length,5,3,N
CD01,Customer Identifier Qualifier,8,2,A/N
CD01,Customer Identifier,10,20,A/N
CD01,Reserved for internal use,30,4,A/N
CD01,Filler,34,8,A/N
CH01,Segment Type,1,4,A/N
CH01,Segment Length,5,3,N
CH01,Service Code,8,5,A/N
CH01,Characteristic ID,13,8,A/N
CH01,Characteristic Value,21,10,A/N
CI01,Segment Type,1,4,A/N
CI01,Segment Length,5,3,N
CI01,Consumer Identifier,8,12,A/N
CL11,Segment Type,1,4,A/N
CL11,Segment Length,5,3,N
CL11,Industry Code,8,2,A/N
CL11,Reporting Subscriber Code,10,8,A/N
CL11,Collection Agency Name,18,30,A/N
CL11,Portfolio Type,48,1,A
CL11,Account Number,49,30,A/N
CL11,Equal Credit Opportunity Act Designator,79,1,A
CL11,Account Type,80,2,A
CL11,Original Creditor Name,82,30,A/N
CL11,Creditor Classification,112,2,A/N
CL11,Effective Date,114,8,A/N
CL11,Open Date,122,8,A/N
CL11,Closed Date,130,8,A/N
CL11,Closed Date Indicator,138,1,A
CL11,Paid Out Date,139,8,A/N
CL11,Current Balance Amount,147,9,A/N
CL11,Amount Placed renamed,156,9,A/N
CL11,Past Due Amount,165,9,A/N
CL11,Manner of Payment renamed,174,2,A/N
CL11,Consolidated Remark Code,176,3,A/N
CL11,Filler,179,5,A/N
CL11,Actual Payment Amount,184,9,A/N
CL11,Last Payment Date,193,8,A/N
CL11,Remark Affiliate Remark Code,201,3,A/N
CL11,Generic Remark Code,204,3,A/N
CL11,Rating Remark Code,207,3,A/N
CL11,Compliance Remark Code,210,3,A/N
CL11,Update Indicator,213,1,A
CL13,Segment Type,1,4,A/N
CL13,Segment Length,5,3,N
CL13,Industry Code,8,2,A/N
CL13,Reporting Subscriber Code,10,8,A/N
CL13,Collection Agency Name,18,30,A/N
CL13,Portfolio Type,48,1,A
CL13,Account Number,49,30,A/N
CL13,Equal Credit Opportunity Act Designator,79,1,A
CL13,Account Type,80,2,A
CL13,Original Creditor Name,82,30,A/N
CL13,Creditor Classification,112,2,A/N
CL13,Effective Date,114,8,A/N
CL13,Open Date,122,8,A/N
CL13,Closed Date,130,8,A/N
CL13,Closed Date Indicator,138,1,A
CL13,Paid Out Date,139,8,A/N
CL13,Current Balance Amount,147,9,A/N
CL13,Amount Placed renamed,156,9,A/N
CL13,Past Due Amount,165,9,A/N
CL13,Manner of Payment renamed,174,2,A/N
CL13,First Delinquency Date,176,8,A/N
CL13,Actual Payment Amount,184,9,A/N
CL13,Last Payment Date,193,8,A/N
CL13,Remarks Affiliate Remark Code,201,3,A/N
CL13,Generic Remark Code,204,3,A/N
CL13,Rating Remark Code,207,3,A/N
CL13,Compliance Remark Code,210,3,A/N
CL13,Update Indicator,213,1,A
CL13,Reported Date,214,8,A/N
CL13,Suppressed Date,222,8,A/N
CL13,Suppression Indicator,230,1,A/N
CO01,Segment Type,1,4,A/N
CO01,Segment Length,5,3,N
CO01,Source Indicator,8,1,A
CO01,Source Qualifier,9,1,A/N
CO01,City Name,10,28,A
CO01,State Code,38,2,A
CO01,County,40,25,A
CO01,County Type,65,1,A
CORR,Segment Type,1,4,A
CORR,Version Switch,5,1,N
CORR,User reference number,6,24,A/N
CORR,First or second inquiry error response record,30,1,A
CORR,First error condition encountered,31,3,N
CORR,Second error condition encountered,34,3,N
CORR,Third error condition encountered,37,3,N
CORR,Fourth error condition encountered,40,3,N
CORR,Fifth error condition encountered,43,3,N
CP11,Segment Type,1,4,A/N
CP11,Segment Length,5,3,N
CP11,Information Type,8,1,A/N
CP11,Subscriber Source Name,9,30,A/N
CP11,Account Docket Number,39,30,A/N
CP11,Remarks Affiliate Remark Code or Public Record Type Code,69,3,A/N
CP11,Generic Remark Code,72,3,A/N
CP11,Rating History Remark Code,75,3,A/N
CP11,Compliance Remark Code,78,3,A/N
CR01,Segment Type,1,4,A/N
CR01,Segment Length,5,3,N
CR01,Listing Indicator,8,3,N
CR01,Listing Type,11,2,A/N
CR01,Match Code,13,2,A/N
CR01,Phone Status Code,15,3,A/N
CR01,Listing Create Date,18,8,A/N
CR01,Phone Availability Indicator,26,1,A
CR02,Segment Type,1,4,A/N
CR02,Segment Length,5,3,N
CR02,Listing Indicator,8,3,N
CR02,SSN Match Indicator,11,2,A/N
CR02,Linking Match Indicator,13,1,A/N
CR02,Filler,14,9,A/N
CS11,Segment Type,1,4,A/N
CS11,Segment Length,5,3,N
CS11,Content Type,8,2,A/N
CS11,Actual Statement Length,10,4,N
CS11,Current Segment Number,14,3,N
CS11,Total Segment Number,17,3,N
CS11,Statement,20,250,A/N
DA01,Segment Type,1,4,A/N
DA01,Segment Length,5,3,N
DA01,Identification or Customer Number Qualifier,8,2,N
DA01,Invalid Format,10,2,N
DA01,Soundex Check,12,1,N
DA01,Last Name Check,13,1,N
DA01,First Name Check,14,1,N
DA01,Middle Name Check,15,1,N
DA01,SSN Check,16,1,N
DA01,DOB Check,17,1,N
DA01,Gender Check,18,1,N
DA01,Eye Color Check,19,1,N
DA01,Expiration Date Check,20,1,N
DA01,Match Evaluation,21,2,A/N
DB01,Segment Type,1,4,A/N
DB01,Segment Length,5,3,N
DB01,Branch ID,8,10,A/N
DB01,Branch Type,18,2,A/N
DB01,Client Use 1,20,20,A/N
DB01,Client Use 2,40,20,A/N
DC11,Segment Type,1,4,A/N
DC11,Segment Length,5,3,N
DC11,Message Code,8,6,A/N
DC11,Source Indicator,14,1,A/N
DC11,Last Name,15,32,A
DC11,First Name,47,20,A
DC11,Name Suffix,67,4,A/N
DC11,City Last Residency,71,28,A
DC11,State Last Residency,99,2,A
DC11,ZIP Code Last Residency,101,10,A/N
DC11,City Location of Payments,111,28,A
DC11,State Location of Payments,139,2,A
DC11,ZIP Code Location of Payments,141,10,A
DC11,Date of Birth of Deceased,151,8,A/N
DC11,Date of Death Claim,159,8,A/N
DC11,Deceased Information File Searched,167,1,A
DI01,Segment Type,1,4,A/N
DI01,Segment Length,5,3,N
DI01,Input Type,8,2,A/N
DI01,Custom Input,10,24,A/N
DR01,Segment Type,1,4,A/N
DR01,Segment Length,5,3,N
DR01,Reference Number,8,12,A/N
DR01,Decision Class,20,1,A/N
DR01,Decision Text,21,10,A/N
DR01,Level,31,2,N
DR01,Level Code,33,1,A/N
DR01,Timestamp,34,14,N
DR01,Maximum Level,48,2,N
DR01,Level Reasons,50,44,A/N
DR01,DS Reasons,94,44,A/N
DR01,Credit Limit,138,9,N
DR01,Bureau ID,147,1,N
DR01,Credit Bureau Error Code,148,3,A/N
DR01,Address Mismatch Alert,151,1,A/N
DR01,Fraud Alert,152,1,A/N
DR01,Credit Data Status,153,1,A/N
DR01,Account Number,154,24,A/N
DR01,Criteria Name,178,6,A/N
DR01,Special Use,184,10,A/N
ED01,Segment Type,1,4,A/N
ED01,Segment Length,5,3,N
ED01,Subject Identifier,8,1,N
ED01,Original Value,9,50,A/N
ED01,Edit Code Number,59,3,A/N
EF01,Segment Type,1,4,A/N
EF01,Segment Length,5,3,N
EF01,Listing Indicator,8,3,A/N
EF01,Delivery Point,11,2,A/N
EF01,Check Digit,13,1,A/N
EF01,Latitude,14,12,A/N
EF01,Longitude,26,12,A/N
EF01,Congressional District,38,2,A/N
EF01,Carrier route,40,4,A/N
EF01,Sort Zone,44,1,A/N
EF01,FIPS,45,5,A/N
EF01,Line Type,50,2,A/N
EF01,MSA MD Coder,52,5,N
EF01,CMSA,57,5,A/N
EM11,Segment Type,1,4,A/N
EM11,Segment Length,5,3,N
EM11,Source Indicator,8,1,A/N
EM11,Employer name,9,50,A/N
EM11,Occupation,59,30,A/N
EM11,Hire Date,89,8,A/N
EM11,Filler,97,8,A/N
EM11,Reported Date,105,8,A/N
EM11,Effective Date,113,8,A/N
EM11,Income,121,9,A/N
EM11,Pay Basis,130,1,A
END1,Segment Type,1,4,A/N
END1,Segment Length,5,3,N
END1,Total Number of Segments,8,5,N
ERRC,Segment Type,1,4,A/N
ERRC,Segment Length,5,3,N
ERRC,Subject Identifier,8,1,N
ERRC,Error Code Number,9,3,A/N
ERRT,Segment Type,1,4,A/N
ERRT,Segment Length,5,3,N
ERRT,Subject Identifier,8,1,N
ERRT,Error Code Number,9,3,A/N
ERRT,Error Description,12,79,A/N
FA11,Segment Type,1,4,A/N
FA11,Segment Length,5,3,N
FA11,Source Indicator,8,1,A
FA11,Address Qualifier,9,1,A/N
FA11,Address Classification Code,10,1,A/N
FA11,Standardized Flag,11,1,A/N
FA11,Address Type,12,1,A/N
FA11,Address Number,13,10,A/N
FA11,Predirectional,23,2,A
FA11,Street Name,25,28,A/N
FA11,Postdirectional,53,2,A
FA11,Street Type,55,4,A
FA11,Unit Type,59,4,A
FA11,Unit Number,63,10,A/N
FA11,City Name,73,28,A
FA11,State Code,101,2,A
FA11,ZIP Code,103,5,A/N
FA11,ZIP Extension Code,108,4,A/N
FA11,Urbanization Name,112,30,A/N
FA11,Date Reported,142,8,A/N
FA11,Housing Status,150,1,A/N
FI01,Segment Type,1,4,A/N
FI01,Segment Length,5,3,N
FI01,Subject Deceased,8,1,A
FI01,Last Activity Type,9,1,A
FI01,Date of Last Activity in the Last 12 Months,10,8,A/N
FI01,Number of Trades,18,3,N
FI01,Number of Inquiries,21,3,N
FT01,Segment Type,1,4,A/N
FT01,Segment Length,5,3,N
FT01,Subscriber Name,8,12,A/N
FT01,Subscriber Area Code,20,3,A/N
FT01,Subscriber Phone Number,23,7,A/N
FT01,Portfolio Type,30,1,A
FT01,Account Number,31,30,A/N
FT01,Last Payment Date renamed,61,8,A/N
FT01,Trade Status,69,3,A
FT01,Available Credit Amount,72,9,A/N
FT01,New Trade Indicator,81,1,A
FT01,Debt Counseling Indicator,82,3,A/N
GC01,Segment Type,1,4,A/N
GC01,Segment Length,5,3,N
GC01,Address Indicator,8,1,A/N
GC01,ZIP Code,9,9,A/N
GC01,GEO Status,18,2,A/N
GC01,Filler,20,2,A/N
GC01,MSA MD Code,22,5,N
GC01,State Code,27,2,A/N
GC01,County Code,29,3,A/N
GC01,Census Tract Code,32,4,A/N
GC01,Census Tract Suffix,36,2,A/N
GC01,Block Code,38,1,A/N
GC01,Latitude,39,8,A/N
GC01,Longitude,47,8,A/N
ID01,Segment Type,1,4,A/N
ID01,Segment Length,5,3,N
ID01,Source Indicator,8,1,A
ID01,ID Type,9,1,N
ID01,ID Number or Value,10,30,A/N
ID01,Expiration Date,40,8,A/N
ID01,State of Issuance,48,2,A
ID02,Segment Type,1,4,A/N
ID02,Segment Length,5,3,N
ID02,Source Indicator,8,1,A
ID02,ID Type,9,2,A/N
ID02,ID Number or Value,11,255,A/N
IN11,Segment Type,1,4,A/N
IN11,Segment Length,5,3,N
IN11,Inquiring Subscriber Prefix Code Bureau Market and Submarket,8,4,A/N
IN11,Industry Code,12,2,A/N
IN11,Inquiring Subscriber Code,14,8,A/N
IN11,Subscriber Name,22,30,A/N
IN11,Equal Credit Opportunity Act Designator,52,1,A
IN11,Account Type,53,2,A
IN11,Inquiry Date,55,8,A
IN11,Requestors Name,63,20,A/N
IN11,Filler,83,2,A/N
IN12,Segment Type,1,4,A/N
IN12,Segment Length,5,3,N
IN12,Subscriber Name,8,30,A
IN12,Subscriber Area Code,38,3,N
IN12,Subscriber Phone Number,41,7,A/N
IN12,Extension,48,5,N
IN12,Account Type,53,2,A
IN12,Inquiry Date,55,8,A/N
IN12,Requestors Name,63,20,A/N
IN12,Filler,83,2,A/N
LK11,Segment Type,1,4,A/N
LK11,Segment Length,5,3,N
LK11,Segment Decoded,8,2,A/N
LK11,Inquiry Subscriber Prefix Code Bureau Market and Submarket,10,4,A/N
LK11,Industry Code,14,2,A/N
LK11,Inquiring Subscriber Code,16,8,A/N
LK11,Subscriber Name,24,30,A/N
LK11,Method of Contact,54,1,A/N
MC01,Segment Type,1,4,A/N
MC01,Segment Length,5,3,N
MC01,Message Code,8,6,A/N
MC01,Source Indicator,14,1,A/N
MC01,Address Match Flag,15,1,A/N
MC01,POB Apartment Number Unit or Telephone Indicator,16,1,A/N
MC01,POB Apartment Number Unit or Telephone Number,17,10,A/N
MC01,Threshold Number,27,3,A/N
MI01,Segment Type,1,4,A/N
MI01,Segment Length,5,3,N
MI01,Information,8,70,A/N
ML01,Segment Type,1,4,A/N
ML01,Segment Length,5,3,N
ML01,Source Indicator,8,1,A
ML01,Max Mileage,9,8,A/N
ML01,Max Mileage Indicator,17,1,N
ML01,Min Mileage,18,8,A/N
ML01,Min Mileage Indicator,26,1,N
ML02,Segment Type,1,4,A/N
ML02,Segment Length,5,3,N
ML02,Source Indicator,8,1,A
ML02,Home Vs Business Phone Numbers Mileage,9,8,A/N
ML02,Home Phone Number Vs Business ZIP Code Mileage,17,8,A/N
ML02,Home ZIP Code Vs Business Phone Number Mileage,25,8,A/N
ML02,Home Vs Business ZIP Code Mileage,33,8,A/N
MT01,Segment Type,1,4,A/N
MT01,Segment Length,5,3,N
MT01,Message Code,8,6,A/N
MT01,Actual Message Length,14,3,N
MT01,Current Segment Number,17,1,N
MT01,Total Segment Number,18,1,N
MT01,Threshold Number,19,3,A/N
MT01,Message Text,22,150,A/N
NM11,Segment Type,1,4,A/N
NM11,Segment Length,5,3,N
NM11,Source Indicator,8,1,A
NM11,Name Indicator,9,1,A/N
NM11,Last Name,10,32,A
NM11,Unparsed Name,10,114,A/N
NM11,First Name,42,82,A
NM11,First Name,42,20,A
NM11,Middle Name,62,20,A
NM11,Prefix,82,4,A/N
NM11,Salutation Code,86,3,A/N
NM11,Generation Code,89,3,A/N
NM11,Secondary Name,92,32,A
NU01,Segment Type,1,4,A/N
NU01,Segment Length,5,3,N
NU01,Number Type,8,2,N
NU01,Number,10,3,N
OB01,Segment Type,1,4,A/N
OB01,Segment Length,5,3,N
OB01,Bureau Name,8,50,A/N
OB01,Bureau Address,58,40,A/N
OB01,Bureau City State Zip,98,29,A/N
OB01,Bureau Telephone Number,127,22,A/N
OB02,Segment Type,1,4,A/N
OB02,Segment Length,5,3,N
OB02,Bureau Name,8,50,A/N
OB02,Bureau Address,58,40,A/N
OB02,Bureau City State Zip,98,29,A/N
OB02,Bureau Telephone Number,127,22,A/N
OB02,Adverse Action URL,149,50,A/N
PD01,Segment Type,1,4,A/N
PD01,Segment Length,5,3,N
PD01,APN,8,50,A/N
PD01,FIPS Code,58,5,A/N
PD01,Sale Price,63,11,A/N
PD01,Date of Sale,74,8,A/N
PD01,Date Sale Recorded,82,8,A/N
PD01,Calculated Value,90,11,A/N
PH01,Segment Type,1,4,A/N
PH01,Segment Length,5,3,N
PH01,Service Code,8,5,A/N
PH02,Segment Type,1,4,A/N
PH02,Segment Length,5,3,N
PH02,Service Code,8,5,A/N
PH02,Service Results,13,3,A/N
PH03,Segment Type,1,4,A/N
PH03,Segment Length,5,3,N
PH03,Service Code,8,5,A/N
PH03,Service Result 1 Phone status,13,1,A/N
PH03,Service Result 2 Address status,14,1,A/N
PH03,Service Result 3 Address type,15,1,A/N
PH04,Segment Type,1,4,A/N
PH04,Segment Length,5,3,N
PH04,Service Code,8,5,A/N
PH04,Total Listings Returned,13,3,N
PH04,Total Listings Found,16,3,N
PI11,Segment Type,1,4,A/N
PI11,Segment Length,5,3,N
PI11,Source Indicator,8,1,A
PI11,Social Security Number,9,9,N
PI11,Date of Birth,18,8,A/N
PN01,Segment Type,1,4,A/N
PN01,Segment Length,5,3,N
PN01,Source Indicator,8,1,A
PN01,Phone Qualifier,9,1,A/N
PN01,Phone Type,10,2,A/N
PN01,Availability Indicator,12,1,A
PN01,Area Code,13,3,A/N
PN01,Telephone Number,16,7,A/N
PN01,Extension,23,5,A/N
PN02,Segment Type,1,4,A/N
PN02,Segment Length,5,3,N
PN02,Source Indicator,8,1,A
PN02,Phone Qualifier,9,1,A/N
PN02,Phone Type,10,2,A/N
PN02,Phone Status,12,1,A/N
PN02,Availability Indicator,13,1,A
PN02,Area Code,14,3,A/N
PN02,Telephone Number,17,7,A/N
PN02,Extension,24,5,A/N
PN02,Filler,29,17,A/N
PP11,Segment Type,1,4,A/N
PP11,Segment Length,5,3,N
PP11,Payment Pattern Start Date,8,8,A/N
PP11,Payment Pattern,16,82,A/N
PR11,Segment Type,1,4,A/N
PR11,Segment Length,5,3,N
PR11,Industry Code,8,2,A/N
PR11,Reporting Subscriber Code,10,8,A/N
PR11,Public Record Type,18,2,A
PR11,Docket Number,20,30,A/N
PR11,Attorney,50,38,A/N
PR11,Plaintiff,88,36,A/N
PR11,File Date renamed,124,8,A/N
PR11,Effective Date renamed,132,8,A/N
PR11,Paid Date,140,8,A/N
PR11,Filler,148,9,A/N
PR11,Amount renamed,157,9,A/N
PR11,Filler,166,9,A/N
PR11,Filler,175,9,A/N
PR11,Equal Credit Opportunity Act Designator,184,1,A
PR11,Public Record Source Code,185,2,A
PR11,Source Location City,187,28,A
PR11,Source Location State,215,2,A
PS01,Segment Type,1,4,A/N
PS01,Segment Length,5,3,N
PS01,First Name Sources,8,2,A/N
PS01,Last Name Sources,10,2,A/N
PS01,Address Sources,12,2,A/N
PS01,Previous Address Sources,14,2,A/N
PS01,Area Code Sources,16,2,A/N
PS01,Phone Number Sources,18,2,A/N
PS01,SSN Sources,20,2,A/N
PS01,Total Sources,22,2,A/N
PS01,First Name Summary number of sources matched,24,2,A/N
PS01,First Name Summary number of sources partially matched,26,2,A/N
PS01,First Name Summary number of sources not matched,28,2,A/N
PS01,First Name Summary number of sources in which not found,30,2,A/N
PS01,Last Name Summary number of sources matched,32,2,A/N
PS01,Last Name Summary number of sources partially matched,34,2,A/N
PS01,Last Name Summary number of sources not matched,36,2,A/N
PS01,Last Name Summary number of sources in which not found,38,2,A/N
PS01,Current Address Summary number of sources matched,40,2,A/N
PS01,Current Address Summary number of sources partially matched,42,2,A/N
PS01,Current Address Summary number of sources not matched,44,2,A/N
PS01,Current Address Summary number of sources in which not found,46,2,A/N
PS01,Previous Address Summary number of sources matched,48,2,A/N
PS01,Previous Address Summary number of sources partially matched,50,2,A/N
PS01,Previous Address Summary number of sources not matched,52,2,A/N
PS01,Previous Address Summary number of sources in which not found,54,2,A/N
PS01,Area Code Summary number of sources matched,56,2,A/N
PS01,Area Code Summary number of sources partially matched,58,2,A/N
PS01,Area Code Summary number of sources not matched,60,2,A/N
PS01,Area Code Summary number of sources in which not found,62,2,A/N
PS01,Phone Number Summary number of sources matched,64,2,A/N
PS01,Phone Number Summary number of sources partially matched,66,2,A/N
PS01,Phone Number Summary number of sources not matched,68,2,A/N
PS01,Phone Number Summary number of sources in which not found,70,2,A/N
PS01,SSN Summary number of sources matched,72,2,A/N
PS01,SSN Summary number of sources partially matched,74,2,A/N
PS01,SSN Summary number of sources not matched,76,2,A/N
PS01,SSN Summary number of sources in which not found,78,2,A/N
PS01,Total Match number of sources matched,80,2,A/N
PS01,Total Match number of sources partially matched,82,2,A/N
PS01,Total Match number of sources not matched,84,2,A/N
PS01,Total Match number of sources in which not found,86,2,A/N
PS01,First Name Total Points,88,2,A/N
PS01,Last Name Total Points,90,2,A/N
PS01,Current Address Total Points,92,2,A/N
PS01,Previous Address Total Points,94,2,A/N
PS01,Area Code Total Points,96,2,A/N
PS01,Phone Number Total Points,98,2,A/N
PS01,SSN Total Points,100,2,A/N
PS01,Total Points,102,2,A/N
PS01,First Name Percent,104,3,A/N
PS01,Last Name Percent,107,3,A/N
PS01,Current Address Percent,110,3,A/N
PS01,Previous Address Percent,113,3,A/N
PS01,Area Code Percent,116,3,A/N
PS01,Phone Number Percent,119,3,A/N
PS01,SSN Percent,122,3,A/N
PS01,Total Percent,125,3,A/N
PS02,Segment Type,1,4,A/N
PS02,Segment Length,5,3,N
PS02,First Name Sources,8,2,A/N
PS02,Last Name Sources,10,2,A/N
PS02,Address Sources,12,2,A/N
PS02,Previous Address Sources,14,2,A/N
PS02,Date of Birth Sources,16,2,A/N
PS02,Area Code Sources,18,2,A/N
PS02,Phone Number Sources,20,2,A/N
PS02,SSN Sources,22,2,A/N
PS02,Total Sources,24,2,A/N
PS02,First Name Summary number of sources matched,26,2,A/N
PS02,First Name Summary number of sources partially matched,28,2,A/N
PS02,First Name Summary number of sources not matched,30,2,A/N
PS02,First Name Summary number of sources in which not found,32,2,A/N
PS02,Last Name Summary number of sources matched,34,2,A/N
PS02,Last Name Summary number of sources partially matched,36,2,A/N
PS02,Last Name Summary number of sources not matched,38,2,A/N
PS02,Last Name Summary number of sources in which not found,40,2,A/N
PS02,Current Address Summary number of sources matched,42,2,A/N
PS02,Current Address Summary number of sources partially matched,44,2,A/N
PS02,Current Address Summary number of sources not matched,46,2,A/N
PS02,Current Address Summary number of sources in which not found,48,2,A/N
PS02,Previous Address Summary number of sources matched,50,2,A/N
PS02,Previous Address Summary number of sources partially matched,52,2,A/N
PS02,Previous Address Summary number of sources not matched,54,2,A/N
PS02,Previous Address Summary number of sources in which not found,56,2,A/N
PS02,Date of Birth Summary number of sources matched,58,2,A/N
PS02,Date of Birth Summary number of sources partially matched,60,2,A/N
PS02,Date of Birth Summary number of sources not matched,62,2,A/N
PS02,Date of Birth Summary number of sources in which not found,64,2,A/N
PS02,Area Code Summary number of sources matched,66,2,A/N
PS02,Area Code Summary number of sources partially matched,68,2,A/N
PS02,Area Code Summary number of sources not matched,70,2,A/N
PS02,Area Code Summary number of sources in which not found,72,2,A/N
PS02,Phone Number Summary number of sources matched,74,2,A/N
PS02,Phone Number Summary number of sources partially matched,76,2,A/N
PS02,Phone Number Summary number of sources not matched,78,2,A/N
PS02,Phone Number Summary number of sources in which not found,80,2,A/N
PS02,SSN Summary number of sources matched,82,2,A/N
PS02,SSN Summary number of sources partially matched,84,2,A/N
PS02,SSN Summary number of sources not matched,86,2,A/N
PS02,SSN Summary number of sources in which not found,88,2,A/N
PS02,Total Match Summary number of sources matched,90,2,A/N
PS02,Total Match Summary number of sources partially matched,92,2,A/N
PS02,Total Match Summary number of sources not matched,94,2,A/N
PS02,Total Match Summary number of sources in which not found,96,2,A/N
PS02,First Name Total Points,98,2,A/N
PS02,Last Name Total Points,100,2,A/N
PS02,Current Address Total Points,102,2,A/N
PS02,Previous Address Total Points,104,2,A/N
PS02,Date of Birth Total Points,106,2,A/N
PS02,Area Code Total Points,108,2,A/N
